Label,temperature,treatment,cage,survival,sex,individual,trait,Length
FO_24_NP_1_1_F_1_T_.tif,24,NP,1,1,F,1,T,0.997
FO_24_NP_1_1_F_1_L_.tif,24,NP,1,1,F,1,L,0.664
FO_24_NP_1_1_F_1_L_.tif,24,NP,1,1,F,1,L,0.621
FO_24_NP_1_1_F_1_W_.tif,24,NP,1,1,F,1,W,1.816
FO_18_NP_2_6_F_115_W_.tif,18,NP,2,6,F,115,W,1.953
FO_18_NP_2_6_F_96_T_.tif,18,NP,2,6,F,96,T,1.06
FO_18_NP_2_6_F_96_L_.tif,18,NP,2,6,F,96,L,0.702
FO_18_NP_2_6_F_96_L_.tif,18,NP,2,6,F,96,L,0.695
FO_18_NP_2_6_F_96_W_.tif,18,NP,2,6,F,96,W,2.02
FO_18_NP_2_6_F_97_T_.tif,18,NP,2,6,F,97,T,1.029
FO_18_NP_2_6_F_97_L_.tif,18,NP,2,6,F,97,L,0.683
FO_18_NP_2_6_F_97_L_.tif,18,NP,2,6,F,97,L,0.664
FO_18_NP_2_6_F_97_W_.tif,18,NP,2,6,F,97,W,1.939
FO_18_NP_2_6_M_98_T_.tif,18,NP,2,6,M,98,T,0.914
FO_18_NP_2_6_M_98_L_.tif,18,NP,2,6,M,98,L,0.661
FO_18_NP_2_6_M_98_L_.tif,18,NP,2,6,M,98,L,0.672
FO_18_NP_2_6_M_98_W_.tif,18,NP,2,6,M,98,W,1.777
FO_18_NP_2_6_F_99_T_.tif,18,NP,2,6,F,99,T,1.023
FO_18_NP_2_6_F_99_L_.tif,18,NP,2,6,F,99,L,0.687
FO_18_NP_2_6_F_99_L_.tif,18,NP,2,6,F,99,L,0.672
FO_18_NP_2_6_F_99_W_.tif,18,NP,2,6,F,99,W,2.017
FO_18_NP_2_6_M_100_T_.tif,18,NP,2,6,M,100,T,1.015
FO_18_NP_2_6_M_100_L_.tif,18,NP,2,6,M,100,L,0.69
FO_18_NP_2_6_M_100_L_.tif,18,NP,2,6,M,100,L,0.682
FO_18_NP_2_6_M_100_W_.tif,18,NP,2,6,M,100,W,1.829
FO_18_NP_2_6_M_101_T_.tif,18,NP,2,6,M,101,T,0.937
FO_18_NP_2_6_M_101_L_.tif,18,NP,2,6,M,101,L,0.661
FO_18_NP_2_6_M_101_L_.tif,18,NP,2,6,M,101,L,0.652
